===============================================================================
Id,2006-day-001,len,datetime,open,high,low,close,volume,openinterest,Strategy,len,datetime
1,2006-day-001,1,2006-01-02 23:59:59.999989,3578.73,3605.95,3578.73,3604.33,0.0,0.0,Strategy,1,732313.9999999999
2,2006-day-001,2,2006-01-03 23:59:59.999989,3604.08,3638.42,3601.84,3614.34,0.0,0.0,Strategy,2,732314.9999999999
3,2006-day-001,3,2006-01-04 23:59:59.999989,3615.23,3652.46,3615.23,3652.46,0.0,0.0,Strategy,3,732315.9999999999
4,2006-day-001,4,2006-01-05 23:59:59.999989,3652.19,3661.65,3643.17,3650.24,0.0,0.0,Strategy,4,732316.9999999999
5,2006-day-001,5,2006-01-06 23:59:59.999989,3650.54,3666.99,3647.66,3666.99,0.0,0.0,Strategy,5,732317.9999999999
6,2006-day-001,6,2006-01-09 23:59:59.999989,3667.1,3685.99,3667.1,3671.78,0.0,0.0,Strategy,6,732320.9999999999
7,2006-day-001,7,2006-01-10 23:59:59.999989,3671.23,3671.23,3638.77,3644.94,0.0,0.0,Strategy,7,732321.9999999999
8,2006-day-001,8,2006-01-11 23:59:59.999989,3645.73,3674.31,3645.73,3668.61,0.0,0.0,Strategy,8,732322.9999999999
9,2006-day-001,9,2006-01-12 23:59:59.999989,3667.16,3676.0,3656.99,3670.2,0.0,0.0,Strategy,9,732323.9999999999
10,2006-day-001,10,2006-01-13 23:59:59.999989,3670.27,3670.27,3618.06,3629.25,0.0,0.0,Strategy,10,732324.9999999999
11,2006-day-001,11,2006-01-16 23:59:59.999989,3628.73,3649.1,3621.03,3644.41,0.0,0.0,Strategy,11,732327.9999999999
12,2006-day-001,12,2006-01-17 23:59:59.999989,3639.57,3639.57,3606.54,3610.07,0.0,0.0,Strategy,12,732328.9999999999
13,2006-day-001,13,2006-01-18 23:59:59.999989,3609.34,3609.34,3550.16,3570.17,0.0,0.0,Strategy,13,732329.9999999999
14,2006-day-001,14,2006-01-19 23:59:59.999989,3572.19,3597.34,3572.19,3593.22,0.0,0.0,Strategy,14,732330.9999999999
15,2006-day-001,15,2006-01-20 23:59:59.999989,3593.16,3612.37,3550.8,3550.8,0.0,0.0,Strategy,15,732331.9999999999
16,2006-day-001,16,2006-01-23 23:59:59.999989,3550.24,3550.24,3515.07,3544.31,0.0,0.0,Strategy,16,732334.9999999999
17,2006-day-001,17,2006-01-24 23:59:59.999989,3544.78,3553.16,3526.37,3532.68,0.0,0.0,Strategy,17,732335.9999999999
18,2006-day-001,18,2006-01-25 23:59:59.999989,3532.72,3578.0,3532.72,3578.0,0.0,0.0,Strategy,18,732336.9999999999
19,2006-day-001,19,2006-01-26 23:59:59.999989,3578.92,3641.42,3577.98,3641.42,0.0,0.0,Strategy,19,732337.9999999999
20,2006-day-001,20,2006-01-27 23:59:59.999989,3643.35,3685.48,3643.35,3685.48,0.0,0.0,Strategy,20,732338.9999999999
21,2006-day-001,21,2006-01-30 23:59:59.999989,3684.38,3685.65,3664.45,3677.52,0.0,0.0,Strategy,21,732341.9999999999
22,2006-day-001,22,2006-01-31 23:59:59.999989,3676.71,3707.63,3671.67,3691.41,0.0,0.0,Strategy,22,732342.9999999999
23,2006-day-001,23,2006-02-01 23:59:59.999989,3686.16,3728.8,3674.89,3728.25,0.0,0.0,Strategy,23,732343.9999999999
24,2006-day-001,24,2006-02-02 23:59:59.999989,3728.92,3745.14,3677.05,3677.05,0.0,0.0,Strategy,24,732344.9999999999
