Calls,Len Strat,Len Data,Datetime,Open,High,Low,Close,Volume,OpenInterest
0001,0001,0001,2005-01-03T00:00:00,38.36,38.90,37.65,38.30,12741400.00,0.00
0002,0001,0001,2005-01-03T23:59:59.999989,38.36,38.90,37.65,38.18,25482800.00,0.00
0003,0002,0002,2005-01-04T00:00:00,38.45,38.54,36.46,37.82,13312650.00,0.00
0004,0002,0002,2005-01-04T23:59:59.999989,38.45,38.54,36.46,36.58,26625300.00,0.00
0005,0003,0003,2005-01-05T00:00:00,36.69,36.98,36.06,36.58,9234550.00,0.00
0006,0003,0003,2005-01-05T23:59:59.999989,36.69,36.98,36.06,36.13,18469100.00,0.00
0007,0004,0004,2005-01-06T00:00:00,36.32,36.50,35.21,36.01,10417650.00,0.00
0008,0004,0004,2005-01-06T23:59:59.999989,36.32,36.50,35.21,35.43,20835300.00,0.00
0009,0005,0005,2005-01-07T00:00:00,35.99,36.46,35.41,35.95,9298150.00,0.00
0010,0005,0005,2005-01-07T23:59:59.999989,35.99,36.46,35.41,35.96,18596300.00,0.00
0011,0006,0006,2005-01-10T00:00:00,36.00,36.76,35.51,36.09,8741400.00,0.00
0012,0006,0006,2005-01-10T23:59:59.999989,36.00,36.76,35.51,36.32,17482800.00,0.00
0013,0007,0007,2005-01-11T00:00:00,36.31,36.58,35.39,36.09,9855950.00,0.00
0014,0007,0007,2005-01-11T23:59:59.999989,36.31,36.58,35.39,35.66,19711900.00,0.00
0015,0008,0008,2005-01-12T00:00:00,35.88,36.18,34.80,35.62,11637350.00,0.00
0016,0008,0008,2005-01-12T23:59:59.999989,35.88,36.18,34.80,36.14,23274700.00,0.00
0017,0009,0009,2005-01-13T00:00:00,36.12,36.32,35.26,35.90,9263250.00,0.00
0018,0009,0009,2005-01-13T23:59:59.999989,36.12,36.32,35.26,35.33,18526500.00,0.00
0019,0010,0010,2005-01-14T00:00:00,35.86,36.70,35.83,36.13,13848850.00,0.00
0020,0010,0010,2005-01-14T23:59:59.999989,35.86,36.70,35.83,36.70,27697700.00,0.00
0021,0011,0011,2005-01-18T00:00:00,37.10,37.46,36.60,37.05,21354800.00,0.00
0022,0011,0011,2005-01-18T23:59:59.999989,37.10,37.46,36.60,37.18,42709600.00,0.00
0023,0012,0012,2005-01-19T00:00:00,38.08,38.20,36.42,37.57,22151600.00,0.00
0024,0012,0012,2005-01-19T23:59:59.999989,38.08,38.20,36.42,36.45,44303200.00,0.00
0025,0013,0013,2005-01-20T00:00:00,35.39,36.42,35.05,35.62,15119550.00,0.00
0026,0013,0013,2005-01-20T23:59:59.999989,35.39,36.42,35.05,35.78,30239100.00,0.00
0027,0014,0014,2005-01-21T00:00:00,36.07,36.11,35.29,35.82,13304000.00,0.00
0028,0014,0014,2005-01-21T23:59:59.999989,36.07,36.11,35.29,35.30,26608000.00,0.00
0029,0015,0015,2005-01-24T00:00:00,35.48,35.52,33.75,34.92,15738700.00,0.00
0030,0015,0015,2005-01-24T23:59:59.999989,35.48,35.52,33.75,33.93,31477400.00,0.00
0031,0016,0016,2005-01-25T00:00:00,34.55,34.76,33.94,34.42,13260700.00,0.00
0032,0016,0016,2005-01-25T23:59:59.999989,34.55,34.76,33.94,34.04,26521400.00,0.00
0033,0017,0017,2005-01-26T00:00:00,34.71,35.74,34.39,34.95,12883750.00,0.00
0034,0017,0017,2005-01-26T23:59:59.999989,34.71,35.74,34.39,35.47,25767500.00,0.00
0035,0018,0018,2005-01-27T00:00:00,35.38,35.49,34.35,35.07,10725400.00,0.00
0036,0018,0018,2005-01-27T23:59:59.999989,35.38,35.49,34.35,34.73,21450800.00,0.00
0037,0019,0019,2005-01-28T00:00:00,34.90,35.24,34.12,34.75,8926850.00,0.00
0038,0019,0019,2005-01-28T23:59:59.999989,34.90,35.24,34.12,34.62,17853700.00,0.00
0039,0020,0020,2005-01-31T00:00:00,35.04,35.44,34.53,35.00,10356100.00,0.00
0040,0020,0020,2005-01-31T23:59:59.999989,35.04,35.44,34.53,35.21,20712200.00,0.00
0041,0021,0021,2005-02-01T00:00:00,35.13,35.28,34.46,34.96,9316800.00,0.00
0042,0021,0021,2005-02-01T23:59:59.999989,35.13,35.28,34.46,34.75,18633600.00,0.00
0043,0022,0022,2005-02-02T00:00:00,36.02,36.34,35.29,35.88,16747600.00,0.00
0044,0022,0022,2005-02-02T23:59:59.999989,36.02,36.34,35.29,35.54,33495200.00,0.00
0045,0023,0023,2005-02-03T00:00:00,35.27,35.67,35.00,35.31,8371200.00,0.00
0046,0023,0023,2005-02-03T23:59:59.999989,35.27,35.67,35.00,35.09,16742400.00,0.00
0047,0024,0024,2005-02-04T00:00:00,34.71,35.30,34.71,34.91,8425100.00,0.00
0048,0024,0024,2005-02-04T23:59:59.999989,34.71,35.30,34.71,35.02,16850200.00,0.00
0049,0025,0025,2005-02-07T00:00:00,35.07,35.19,34.36,34.87,7294450.00,0.00
0050,0025,0025,2005-02-07T23:59:59.999989,35.07,35.19,34.36,34.47,14588900.00,0.00
0051,0026,0026,2005-02-08T00:00:00,34.64,34.91,34.32,34.62,8660750.00,0.00
0052,0026,0026,2005-02-08T23:59:59.999989,34.64,34.91,34.32,34.36,17321500.00,0.00
0053,0027,0027,2005-02-09T00:00:00,34.60,34.66,33.45,34.24,9142550.00,0.00
0054,0027,0027,2005-02-09T23:59:59.999989,34.60,34.66,33.45,33.59,18285100.00,0.00
0055,0028,0028,2005-02-10T00:00:00,33.72,33.72,32.47,33.30,16318700.00,0.00
0056,0028,0028,2005-02-10T23:59:59.999989,33.72,33.72,32.47,33.44,32637400.00,0.00
0057,0029,0029,2005-02-11T00:00:00,33.45,34.70,33.31,33.82,10002900.00,0.00
