===============================================================================
Id,2006-01-02-volume-min-001,len,datetime,open,high,low,close,volume,openinterest,Strategy,len,datetime
1,2006-01-02-volume-min-001,1,2006-01-02 09:01:00,3602.0,3603.0,3597.0,3599.0,5699.0,0.0,Strategy,1,732313.3756944444
2,2006-01-02-volume-min-001,2,2006-01-02 09:02:00,3600.0,3601.0,3598.0,3599.0,894.0,0.0,Strategy,2,732313.3763888889
3,2006-01-02-volume-min-001,3,2006-01-02 09:03:00,3599.0,3602.0,3598.0,3600.0,883.0,0.0,Strategy,3,732313.3770833333
4,2006-01-02-volume-min-001,4,2006-01-02 09:04:00,3599.0,3599.0,3597.0,3597.0,726.0,0.0,Strategy,4,732313.3777777777
5,2006-01-02-volume-min-001,5,2006-01-02 09:05:00,3597.0,3598.0,3596.0,3598.0,1085.0,0.0,Strategy,5,732313.3784722222
6,2006-01-02-volume-min-001,6,2006-01-02 09:06:00,3598.0,3599.0,3597.0,3598.0,963.0,0.0,Strategy,6,732313.3791666667
7,2006-01-02-volume-min-001,7,2006-01-02 09:07:00,3597.0,3599.0,3597.0,3598.0,1082.0,0.0,Strategy,7,732313.379861111
8,2006-01-02-volume-min-001,8,2006-01-02 09:08:00,3599.0,3599.0,3597.0,3599.0,350.0,0.0,Strategy,8,732313.3805555556
9,2006-01-02-volume-min-001,9,2006-01-02 09:09:00,3599.0,3600.0,3599.0,3600.0,977.0,0.0,Strategy,9,732313.38125
10,2006-01-02-volume-min-001,10,2006-01-02 09:10:00,3600.0,3601.0,3600.0,3601.0,476.0,0.0,Strategy,10,732313.3819444445
11,2006-01-02-volume-min-001,11,2006-01-02 09:11:00,3600.0,3602.0,3600.0,3602.0,430.0,0.0,Strategy,11,732313.3826388889
12,2006-01-02-volume-min-001,12,2006-01-02 09:12:00,3602.0,3604.0,3602.0,3602.0,901.0,0.0,Strategy,12,732313.3833333333
13,2006-01-02-volume-min-001,13,2006-01-02 09:13:00,3602.0,3603.0,3602.0,3603.0,377.0,0.0,Strategy,13,732313.3840277778
14,2006-01-02-volume-min-001,14,2006-01-02 09:14:00,3603.0,3604.0,3603.0,3603.0,408.0,0.0,Strategy,14,732313.3847222222
15,2006-01-02-volume-min-001,15,2006-01-02 09:15:00,3604.0,3605.0,3604.0,3604.0,781.0,0.0,Strategy,15,732313.3854166666
16,2006-01-02-volume-min-001,16,2006-01-02 09:16:00,3604.0,3604.0,3602.0,3602.0,1307.0,0.0,Strategy,16,732313.3861111111
17,2006-01-02-volume-min-001,17,2006-01-02 09:17:00,3603.0,3604.0,3602.0,3603.0,889.0,0.0,Strategy,17,732313.3868055556
18,2006-01-02-volume-min-001,18,2006-01-02 09:18:00,3603.0,3604.0,3602.0,3602.0,290.0,0.0,Strategy,18,732313.3875
19,2006-01-02-volume-min-001,19,2006-01-02 09:19:00,3603.0,3604.0,3603.0,3604.0,224.0,0.0,Strategy,19,732313.3881944445
20,2006-01-02-volume-min-001,20,2006-01-02 09:20:00,3603.0,3604.0,3603.0,3604.0,224.0,0.0,Strategy,20,732313.3888888889
21,2006-01-02-volume-min-001,21,2006-01-02 09:21:00,3603.0,3605.0,3603.0,3604.0,329.0,0.0,Strategy,21,732313.3895833333
22,2006-01-02-volume-min-001,22,2006-01-02 09:22:00,3604.0,3605.0,3604.0,3605.0,232.0,0.0,Strategy,22,732313.3902777778
23,2006-01-02-volume-min-001,23,2006-01-02 09:23:00,3604.0,3605.0,3604.0,3604.0,775.0,0.0,Strategy,23,732313.3909722222
24,2006-01-02-volume-min-001,24,2006-01-02 09:24:00,3605.0,3605.0,3604.0,3604.0,153.0,0.0,Strategy,24,732313.3916666667
25,2006-01-02-volume-min-001,25,2006-01-02 09:25:00,3605.0,3605.0,3603.0,3604.0,415.0,0.0,Strategy,25,732313.3923611111
26,2006-01-02-volume-min-001,26,2006-01-02 09:26:00,3604.0,3605.0,3603.0,3603.0,284.0,0.0,Strategy,26,732313.3930555555
27,2006-01-02-volume-min-001,27,2006-01-02 09:27:00,3603.0,3604.0,3603.0,3603.0,154.0,0.0,Strategy,27,732313.39375
28,2006-01-02-volume-min-001,28,2006-01-02 09:28:00,3603.0,3604.0,3603.0,3604.0,315.0,0.0,Strategy,28,732313.3944444444
29,2006-01-02-volume-min-001,29,2006-01-02 09:29:00,3603.0,3604.0,3603.0,3604.0,31.0,0.0,Strategy,29,732313.3951388889
30,2006-01-02-volume-min-001,30,2006-01-02 09:30:00,3604.0,3605.0,3603.0,3604.0,546.0,0.0,Strategy,30,732313.3958333334
31,2006-01-02-volume-min-001,31,2006-01-02 09:31:00,3604.0,3606.0,3604.0,3606.0,438.0,0.0,Strategy,31,732313.3965277778
32,2006-01-02-volume-min-001,32,2006-01-02 09:32:00,3605.0,3606.0,3605.0,3606.0,1266.0,0.0,Strategy,32,732313.3972222222
33,2006-01-02-volume-min-001,33,2006-01-02 09:33:00,3606.0,3608.0,3606.0,3607.0,1415.0,0.0,Strategy,33,732313.3979166667
34,2006-01-02-volume-min-001,34,2006-01-02 09:34:00,3607.0,3608.0,3607.0,3608.0,288.0,0.0,Strategy,34,732313.3986111111
35,2006-01-02-volume-min-001,35,2006-01-02 09:35:00,3608.0,3612.0,3608.0,3612.0,2239.0,0.0,Strategy,35,732313.3993055555
36,2006-01-02-volume-min-001,36,2006-01-02 09:36:00,3611.0,3614.0,3611.0,3614.0,2137.0,0.0,Strategy,36,732313.4
37,2006-01-02-volume-min-001,37,2006-01-02 09:37:00,3614.0,3616.0,3614.0,3616.0,1716.0,0.0,Strategy,37,732313.4006944444
38,2006-01-02-volume-min-001,38,2006-01-02 09:38:00,3616.0,3617.0,3615.0,3616.0,1618.0,0.0,Strategy,38,732313.401388889
39,2006-01-02-volume-min-001,39,2006-01-02 09:39:00,3615.0,3616.0,3615.0,3615.0,715.0,0.0,Strategy,39,732313.4020833333
40,2006-01-02-volume-min-001,40,2006-01-02 09:40:00,3616.0,3617.0,3616.0,3617.0,849.0,0.0,Strategy,40,732313.4027777778
41,2006-01-02-volume-min-001,41,2006-01-02 09:41:00,3617.0,3618.0,3616.0,3618.0,977.0,0.0,Strategy,41,732313.4034722223
42,2006-01-02-volume-min-001,42,2006-01-02 09:42:00,3618.0,3619.0,3617.0,3618.0,1135.0,0.0,Strategy,42,732313.4041666667
43,2006-01-02-volume-min-001,43,2006-01-02 09:43:00,3618.0,3619.0,3618.0,3618.0,358.0,0.0,Strategy,43,732313.4048611111
44,2006-01-02-volume-min-001,44,2006-01-02 09:44:00,3618.0,3619.0,3618.0,3618.0,328.0,0.0,Strategy,44,732313.4055555556
45,2006-01-02-volume-min-001,45,2006-01-02 09:45:00,3618.0,3619.0,3617.0,3617.0,953.0,0.0,Strategy,45,732313.40625
46,2006-01-02-volume-min-001,46,2006-01-02 09:46:00,3617.0,3618.0,3617.0,3617.0,1233.0,0.0,Strategy,46,732313.4069444444
47,2006-01-02-volume-min-001,47,2006-01-02 09:47:00,3617.0,3617.0,3616.0,3617.0,282.0,0.0,Strategy,47,732313.4076388889
48,2006-01-02-volume-min-001,48,2006-01-02 09:48:00,3617.0,3617.0,3616.0,3617.0,139.0,0.0,Strategy,48,732313.4083333333
49,2006-01-02-volume-min-001,49,2006-01-02 09:49:00,3616.0,3616.0,3615.0,3616.0,288.0,0.0,Strategy,49,732313.4090277777
50,2006-01-02-volume-min-001,50,2006-01-02 09:50:00,3616.0,3616.0,3615.0,3615.0,775.0,0.0,Strategy,50,732313.4097222222
51,2006-01-02-volume-min-001,51,2006-01-02 09:51:00,3615.0,3616.0,3615.0,3615.0,242.0,0.0,Strategy,51,732313.4104166667
52,2006-01-02-volume-min-001,52,2006-01-02 09:52:00,3615.0,3616.0,3615.0,3615.0,279.0,0.0,Strategy,52,732313.411111111
53,2006-01-02-volume-min-001,53,2006-01-02 09:53:00,3615.0,3615.0,3614.0,3614.0,459.0,0.0,Strategy,53,732313.4118055556
54,2006-01-02-volume-min-001,54,2006-01-02 09:54:00,3615.0,3615.0,3614.0,3615.0,77.0,0.0,Strategy,54,732313.4125
55,2006-01-02-volume-min-001,55,2006-01-02 09:55:00,3614.0,3615.0,3613.0,3614.0,758.0,0.0,Strategy,55,732313.4131944445
56,2006-01-02-volume-min-001,56,2006-01-02 09:56:00,3613.0,3614.0,3613.0,3613.0,773.0,0.0,Strategy,56,732313.4138888889
57,2006-01-02-volume-min-001,57,2006-01-02 09:57:00,3613.0,3613.0,3613.0,3613.0,351.0,0.0,Strategy,57,732313.4145833333
58,2006-01-02-volume-min-001,58,2006-01-02 09:58:00,3612.0,3613.0,3612.0,3613.0,293.0,0.0,Strategy,58,732313.4152777778
59,2006-01-02-volume-min-001,59,2006-01-02 09:59:00,3612.0,3612.0,3611.0,3612.0,907.0,0.0,Strategy,59,732313.4159722222
60,2006-01-02-volume-min-001,60,2006-01-02 10:00:00,3612.0,3614.0,3612.0,3613.0,852.0,0.0,Strategy,60,732313.4166666666
61,2006-01-02-volume-min-001,61,2006-01-02 10:01:00,3613.0,3615.0,3613.0,3614.0,554.0,0.0,Strategy,61,732313.4173611111
62,2006-01-02-volume-min-001,62,2006-01-02 10:02:00,3614.0,3615.0,3614.0,3615.0,93.0,0.0,Strategy,62,732313.4180555556
63,2006-01-02-volume-min-001,63,2006-01-02 10:03:00,3615.0,3615.0,3614.0,3615.0,542.0,0.0,Strategy,63,732313.41875
64,2006-01-02-volume-min-001,64,2006-01-02 10:04:00,3615.0,3616.0,3615.0,3615.0,328.0,0.0,Strategy,64,732313.4194444445
65,2006-01-02-volume-min-001,65,2006-01-02 10:05:00,3616.0,3616.0,3615.0,3615.0,142.0,0.0,Strategy,65,732313.4201388889
66,2006-01-02-volume-min-001,66,2006-01-02 10:06:00,3615.0,3616.0,3615.0,3616.0,793.0,0.0,Strategy,66,732313.4208333333
67,2006-01-02-volume-min-001,67,2006-01-02 10:07:00,3616.0,3616.0,3615.0,3616.0,326.0,0.0,Strategy,67,732313.4215277778
68,2006-01-02-volume-min-001,68,2006-01-02 10:08:00,3616.0,3616.0,3614.0,3615.0,840.0,0.0,Strategy,68,732313.4222222222
69,2006-01-02-volume-min-001,69,2006-01-02 10:09:00,3614.0,3615.0,3613.0,3614.0,868.0,0.0,Strategy,69,732313.4229166667
70,2006-01-02-volume-min-001,70,2006-01-02 10:10:00,3614.0,3614.0,3613.0,3613.0,244.0,0.0,Strategy,70,732313.4236111111
71,2006-01-02-volume-min-001,71,2006-01-02 10:11:00,3613.0,3614.0,3612.0,3613.0,107.0,0.0,Strategy,71,732313.4243055555
72,2006-01-02-volume-min-001,72,2006-01-02 10:12:00,3612.0,3612.0,3612.0,3612.0,22.0,0.0,Strategy,72,732313.425
73,2006-01-02-volume-min-001,73,2006-01-02 10:13:00,3612.0,3613.0,3612.0,3613.0,39.0,0.0,Strategy,73,732313.4256944444
74,2006-01-02-volume-min-001,74,2006-01-02 10:14:00,3612.0,3612.0,3612.0,3612.0,176.0,0.0,Strategy,74,732313.4263888889
75,2006-01-02-volume-min-001,75,2006-01-02 10:15:00,3612.0,3612.0,3611.0,3612.0,399.0,0.0,Strategy,75,732313.4270833334
76,2006-01-02-volume-min-001,76,2006-01-02 10:16:00,3612.0,3612.0,3612.0,3612.0,55.0,0.0,Strategy,76,732313.4277777778
77,2006-01-02-volume-min-001,77,2006-01-02 10:17:00,3613.0,3613.0,3612.0,3613.0,26.0,0.0,Strategy,77,732313.4284722222
78,2006-01-02-volume-min-001,78,2006-01-02 10:18:00,3612.0,3612.0,3612.0,3612.0,2.0,0.0,Strategy,78,732313.4291666667
79,2006-01-02-volume-min-001,79,2006-01-02 10:19:00,3613.0,3614.0,3613.0,3614.0,1320.0,0.0,Strategy,79,732313.4298611111
80,2006-01-02-volume-min-001,80,2006-01-02 10:20:00,3613.0,3614.0,3613.0,3613.0,371.0,0.0,Strategy,80,732313.4305555555
81,2006-01-02-volume-min-001,81,2006-01-02 10:21:00,3613.0,3613.0,3613.0,3613.0,66.0,0.0,Strategy,81,732313.43125
