0001,  True, data0, 2014-01-02T23:59:59.999989, 2014-01-02T23:59:59.999989, data1
0002,  True, data0, 2014-01-03T23:59:59.999989, 2014-01-03T23:59:59.999989, data1
0003,  True, data0, 2014-01-06T23:59:59.999989, 2014-01-06T23:59:59.999989, data1
0004,  True, data0, 2014-01-07T23:59:59.999989, 2014-01-07T23:59:59.999989, data1
0005,  True, data0, 2014-01-08T23:59:59.999989, 2014-01-08T23:59:59.999989, data1
0006,  True, data0, 2014-01-09T23:59:59.999989, 2014-01-09T23:59:59.999989, data1
0007,  True, data0, 2014-01-10T23:59:59.999989, 2014-01-10T23:59:59.999989, data1
0008,  True, data0, 2014-01-13T23:59:59.999989, 2014-01-13T23:59:59.999989, data1
0009,  True, data0, 2014-01-14T23:59:59.999989, 2014-01-14T23:59:59.999989, data1
0010,  True, data0, 2014-01-15T23:59:59.999989, 2014-01-15T23:59:59.999989, data1
0011,  True, data0, 2014-01-16T23:59:59.999989, 2014-01-16T23:59:59.999989, data1
0012,  True, data0, 2014-01-17T23:59:59.999989, 2014-01-17T23:59:59.999989, data1
0013,  True, data0, 2014-01-20T23:59:59.999989, 2014-01-20T23:59:59.999989, data1
0014,  True, data0, 2014-01-21T23:59:59.999989, 2014-01-21T23:59:59.999989, data1
0015,  True, data0, 2014-01-22T23:59:59.999989, 2014-01-22T23:59:59.999989, data1
0016,  True, data0, 2014-01-23T23:59:59.999989, 2014-01-23T23:59:59.999989, data1
0017,  True, data0, 2014-01-24T23:59:59.999989, 2014-01-24T23:59:59.999989, data1
0018,  True, data0, 2014-01-27T23:59:59.999989, 2014-01-27T23:59:59.999989, data1
0019,  True, data0, 2014-01-28T23:59:59.999989, 2014-01-28T23:59:59.999989, data1
0020,  True, data0, 2014-01-29T23:59:59.999989, 2014-01-29T23:59:59.999989, data1
0021,  True, data0, 2014-01-30T23:59:59.999989, 2014-01-30T23:59:59.999989, data1
