Instrument,IGEpic,IGCurrency,IGMultiplier,IGInverse,IGPeriods,IGMargin,BarchartCode
AEX,,,,,na,,AE
AEX_fsb,IX.D.AEX,GBP,1.0,False,Month1|Month2,0.1,AE
ASX,,,,,na,,AP
ASX_fsb,IX.D.ASX,GBP,1.0,False,MONTH2|MONTH3|MONTH4,0.05,AP
AUD,,,,,na,,A6
AUD_fsb,CF.D.AUD,GBP,10000.0,False,MAR|JUN|SEP|DEC,0.05,A6
AUDJPY,,,,,na,,UK
AUDJPY_fsb,CF.D.AUDJPY,GBP,100.0,False,MAR|JUN|SEP|DEC,0.05,UK
BOBL,,,,,na,,HR
BOBL_fsb,IR.D.FGBM,GBP,100.0,False,Month1|Month2,0.2,HR
BRENT_W,,,,,na,,CB
BRENT_W_fsb,EN.D.LCO,GBP,100.0,False,Month2|Month3|Month4|Month5|Month6,0.1,CB
BTP,,,,,na,,II
BTP_fsb,IR.D.FBTP,GBP,100.0,False,Month1|Month2,0.2,II
BTP3,,,,,na,,IA
BTP3_fsb,IR.D.FBTS,GBP,100.0,False,Month1|Month2,0.2,IA
BUND,,,,,na,,GG
BUND_fsb,IR.D.FGBL,GBP,100.0,False,Month1|Month2,0.2,GG
BUXL,,,,,na,,GX
BUXL_fsb,IR.D.FGBX,GBP,100.0,False,Month1|Month2,0.2,GX
CAC,,,,,na,,MX
CAC_fsb,IX.D.CAC,GBP,1.0,False,Month1|Month2,0.05,MX
CAD,,,,,na,,D6
CAD_fsb,CF.D.USDCAD,GBP,10000.0,True,MAR|JUN|SEP|DEC,0.033,D6
CADJPY,,,,,na,,UF
CADJPY_fsb,CF.D.CADJPY,GBP,100.0,False,MAR|JUN|SEP|DEC,0.033,UF
CHF,,,,,na,,S6
CHF_fsb,CF.D.USDCHF,GBP,10000.0,True,MAR|JUN|SEP|DEC,0.033,S6
CHFJPY,,,,,na,,UP
CHFJPY_fsb,CF.D.CHFJPY,GBP,100.0,False,MAR|JUN|SEP|DEC,0.033,UP
COCOA_LDN,,,,,na,,CA
COCOA_LDN_fsb,CO.D.LCC,GBP,1.0,False,Month1|Month2|Month3|Month4|Month5|Month6|Month7,0.1,CA
COCOA,,,,,na,,CC
COCOA_fsb,CO.D.CC,GBP,1.0,False,Month1|Month2|Month3|Month4|Month5|Month6|Month7,0.1,CC
COFFEE,,,,,na,,KC
COFFEE_fsb,CO.D.KC,GBP,100.0,False,Month1|Month2,0.1,KC
COPPER,,,,,na,,HG
COPPER_fsb,MT.D.HG,GBP,10000.0,False,Month1|Month2,0.1,HG
CORN,,,,,na,,ZC
CORN_fsb,CO.D.C,GBP,1.0,False,Month1|Month2,0.1,ZC
COTTON2,,,,,na,,CT
COTTON2_fsb,CO.D.CT,GBP,100.0,False,Month1|Month2,0.1,CT
CRUDE_W,,,,,na,,CL
CRUDE_W_fsb,EN.D.CL,GBP,100.0,False,Month1|Month2|Month3,0.1,CL
DAX,,,,,na,,DY
DAX_fsb,IX.D.DAX,GBP,1.0,False,FAR|VFAR,0.05,DY
DOW,,,,,na,,YM
DOW_fsb,IX.D.DOW,GBP,1.0,False,MONTH1|MONTH2,0.05,YM
DX,,,,,na,,DX
DX_fsb,CO.D.DX,GBP,100.0,False,Month1|Month2,0.1,DX
EUA,,,,,na,,CK
EUA_fsb,CO.D.CFI,GBP,100.0,False,Month1|Month2|Month3,0.1,CK
EUR,,,,,na,,E6
EUR_fsb,CF.D.EURUSD,GBP,10000.0,False,MAR|JUN|SEP|DEC,0.033,E6
EU-BANKS,,,,,na,,FA
EU-BANKS_fsb,IX.D.StoxxBank,GBP,1.0,False,MONTH2|MONTH3,0.1,FA
EURCAD,,,,,na,,EP
EURCAD_fsb,CF.D.EURCAD,GBP,10000.0,False,MAR|JUN|SEP|DEC,0.033,EP
EURCHF,,,,,na,,RF
EURCHF_fsb,CF.D.EURCHF,GBP,10000.0,False,MAR|JUN|SEP|DEC,0.033,RF
EURIBOR-ICE,,,,,na,,IM
EURIBOR-ICE_fsb,IR.D.FEI,GBP,100.0,False,Month1|Month2|Month3|Month4|MONTH5|MONTH6|Month7|Month8|Month9|Mnth10|Month11|Mnth12,0.2,IM
EURGBP,,,,,na,,RP
EURGBP_fsb,CF.D.EURGBP,GBP,10000.0,False,MAR|JUN|SEP|DEC,0.033,RP
EUROSTX,,,,,na,,FX
EUROSTX_fsb,IX.D.STXE,GBP,1.0,False,MONTH2|MONTH3,0.05,FX
EURO600,,,,,na,,FY
EURO600_fsb,IX.D.STX600,GBP,1.0,False,MONTH2|MONTH3,0.1,FY
FED,,,,,na,,ZQ
FED_fsb,IR.D.FF,GBP,100.0,False,Month1|Month2|Month3|Month5|Month6|Month7|Month8|Month9|Month10|Month11|Month12|MonthX,0.2,ZQ
FTSE100,,,,,na,,X
FTSE100_fsb,IX.D.FTSE,GBP,1.0,False,MONTH1|MONTH2,0.05,X
FTSE250,,,,,na,,Y
FTSE250_fsb,KB.D.MID250,GBP,1.0,False,MAR|JUN|SEP|DEC,0.1,Y
FTSEAFRICA40,,,,,na,,LX
FTSEAFRICA40_fsb,IX.D.SAF,GBP,1.0,False,MONTH1|MONTH2,0.1,LX
FTSECHINAH,,,,,na,,HA
FTSECHINAH_fsb,IX.D.HSCHIN,GBP,1.0,False,MONTH1|MONTH2,0.1,HA
GAS_NL,,,,,na,,TG
GAS_NL_fsb,EN.D.ICETTF,GBP,1000.0,False,Month1|Month2|Month3|Month4|Month5|Month6|Month7|Month8|Month9|Month10|Month11,0.1,TG
GAS_UK,,,,,na,,NF
GAS_UK_fsb,EN.D.ICENG,GBP,1000.0,False,Month1|Month2|Month3|Month4|Month5|Month6|Month7|Month8|Month9|Month10|Month11,0.1,NF
GAS_US,,,,,na,,NG
GAS_US_fsb,EN.D.NG,GBP,1000.0,False,Month1|Month2|Month3,0.1,NG
GASOIL,,,,,na,,LF
GASOIL_fsb,EN.D.LGO,GBP,1.0,False,Month1|Month2,0.1,LF
GASOLINE,,,,,na,,RB
GASOLINE_fsb,EN.D.RB,GBP,10000.0,False,Month1|Month2,0.1,RB
GBP,,,,,na,,B6
GBP_fsb,CF.D.GBPUSD,GBP,10000.0,False,MAR|JUN|SEP|DEC,0.033,B6
GBPCHF,,,,,na,,SS
GBPCHF_fsb,CF.D.GBPCHF,GBP,10000.0,False,MAR|JUN|SEP|DEC,0.033,SS
GBPJPY,,,,,na,,UR
GBPJPY_fsb,CF.D.GBPJPY,GBP,100.0,False,MAR|JUN|SEP|DEC,0.033,UR
GILT,,,,,na,,G
GILT_fsb,IR.D.FLG,GBP,100.0,False,Month1|Month2,0.2,G
GOLD,,,,,na,,GC
GOLD_fsb,MT.D.GC,GBP,1.0,False,Month2|Month3|Month1,0.05,GC
HEATOIL,,,,,na,,HO
HEATOIL_fsb,EN.D.HO,GBP,10000.0,False,Month1|Month2,0.1,HO
HANG,,,,,na,,HS
HANG_fsb,IX.D.HANGSENG,GBP,1.0,False,NEAR|FAR|VFAR,0.1,HS
IBEX,,,,,na,,EF
IBEX_fsb,IX.D.IBEX,GBP,1.0,False,Month1|Month2,0.1,EF
IBXEX,,,,,na,,EF
IBXEX_fsb,IX.D.IBEX,GBP,1.0,False,Month1|Month2,0.1,EF
JGB,,,,,na,,JX
JGB_fsb,IR.D.JGB,GBP,100.0,False,Month1|Month2|Month3,0.2,JX
JPY,,,,,na,,J6
